title,region,region_name,price_title,property_size,bedrooms,bathrooms,furnishing,boosted,state,price_m2
"4bdrm Duplex in Abuja Estate, Owerri for sale","Imo State, Owerri",Owerri,170000000.0,600,4,5,Unfurnished,True,Imo,283333.3333333333
"Furnished 5bdrm Bungalow in Prime Property, Benin City for sale","Edo State, Benin City",Benin City,45000000.0,1500,5,4,Furnished,True,Edo,30000.0
2bdrm Block of Flats in Uyo for sale,"Akwa Ibom State, Uyo",Uyo,30000000.0,400,2,1,Unfurnished,False,Akwa Ibom,75000.0
"Furnished 6bdrm Duplex in Port Harcourt, Obio-Akpor for sale","Rivers State, Obio-Akpor",Obio-Akpor,150000000.0,1162,6,6,Furnished,False,Rivers,129087.77969018933
"12bdrm Block of Flats in Kapua, FHA for sale","Lugbe District, FHA",FHA,250000000.0,1300,12,16,Semi-furnished,False,Abuja,192307.6923076923
"4bdrm Duplex in Utesi, Benin City for sale","Edo State, Benin City",Benin City,47000000.0,2000,4,4,Unfurnished,False,Edo,23500.0
"4bdrm Duplex in Saud Supreme, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,250000000.0,500,4,5,Semi-furnished,False,Abuja,500000.0
"Furnished 3bdrm House in Prime Property, Benin City for sale","Edo State, Benin City",Benin City,120000000.0,1000,3,3,Furnished,True,Edo,120000.0
"4bdrm Duplex in Peace Gardens Estate, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,360000000.0,400,4,5,Unfurnished,False,Lagos,900000.0
Furnished 4bdrm Block of Flats in Peninsula Estate for sale,"Ajah, Peninsula Estate",Peninsula Estate,160000000.0,1000,4,5,Furnished,False,Lagos,160000.0
"5bdrm Bungalow in Olufoworeseti, Gberigbe for sale","Ikorodu, Gberigbe",Gberigbe,25000000.0,350,5,3,Unfurnished,False,Lagos,71428.57142857143
"11bdrm House in Nwawolor Estate, Oshimili North for sale","Delta State, Oshimili North",Oshimili North,100000000.0,929,11,16,Unfurnished,False,Delta,107642.62648008611
4bdrm Bungalow in Eneka for sale,"Port-Harcourt, Eneka",Eneka,35000000.0,972,4,2,Unfurnished,False,Rivers,36008.2304526749
"3bdrm Block of Flats in City Of David Estate, Shimawa for sale","Sagamu, Shimawa",Shimawa,110000000.0,600,3,3,Unfurnished,True,Ogun,183333.33333333334
3bdrm House in Ado-Odo/Ota for sale,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,15000000.0,620,3,3,Unfurnished,False,Ogun,24193.548387096773
"5bdrm Bungalow in Chevron Estate., Satelite Town for sale","Ojo, Satelite Town",Satelite Town,100000000.0,370,5,5,Unfurnished,False,Lagos,270270.2702702703
"7bdrm Duplex in Efeb Metropolis, Dawaki for sale","Gwarinpa, Dawaki",Dawaki,500000000.0,1000,7,7,Unfurnished,False,Abuja,500000.0
"3bdrm Bungalow in Queens Park Estate, Obafemi-Owode for sale","Ogun State, Obafemi-Owode",Obafemi-Owode,42500000.0,250,3,3,Unfurnished,False,Ogun,170000.0
4bdrm Duplex in Life Camp Abuja for sale,"Gwarinpa, Life Camp",Life Camp,180000000.0,350,4,4,Semi-furnished,True,Abuja,514285.71428571426
"4bdrm Duplex in A Secured Code To, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,155000000.0,350,4,5,Unfurnished,True,Lagos,442857.14285714284
"1bdrm Apartment in A Secured Gated, Ologolo for sale","Lekki, Ologolo",Ologolo,80000000.0,300,1,1,Unfurnished,True,Lagos,266666.6666666667
"5bdrm Duplex in Abese Est,  Elebu, Ibadan for sale","Oyo State, Ibadan",Ibadan,80000000.0,480,5,5,Semi-furnished,True,Oyo,166666.66666666666
"5bdrm Duplex in Independence Layout, Enugu for sale","Enugu State, Enugu",Enugu,350000000.0,600,5,5,Unfurnished,True,Enugu,583333.3333333334
"1bdrm Block of Flats in Leisure Place Street, Kubwa for sale","Abuja (FCT), Kubwa",Kubwa,48000000.0,500,1,1,Unfurnished,False,Abuja,96000.0
"3bdrm Bungalow in Harmony Estate, Ibadan for sale","Oyo State, Ibadan",Ibadan,65000000.0,650,3,4,Semi-furnished,False,Oyo,100000.0
"4bdrm Duplex in A Well Secured, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,250000000.0,400,4,4,Unfurnished,True,Lagos,625000.0
"5bdrm Duplex in Premier Layout, Enugu for sale","Enugu State, Enugu",Enugu,230000000.0,500,5,5,Unfurnished,True,Enugu,460000.0
"5bdrm Duplex in A Well Secured Code, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,265000000.0,500,5,6,Unfurnished,True,Lagos,530000.0
5bdrm Duplex in Oluyole Estate for sale,"Ibadan, Oluyole Estate",Oluyole Estate,250000000.0,500,5,5,Semi-furnished,True,Oyo,500000.0
"4bdrm Bungalow in Ijare Road, Akure for sale","Ondo State, Akure",Akure,65000000.0,650,4,5,Semi-furnished,False,Ondo,100000.0
"4bdrm Duplex in Heliu Estate, Enugu for sale","Enugu State, Enugu",Enugu,250000000.0,500,4,4,Unfurnished,True,Enugu,500000.0
"4bdrm Duplex in A Well Secured Code, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,155000000.0,380,4,5,Unfurnished,True,Lagos,407894.7368421053
"12bdrm House in Oda Road, Akure for sale","Ondo State, Akure",Akure,17000000.0,900,12,2,Unfurnished,False,Ondo,18888.88888888889
"5bdrm Duplex in Golf Estate, Enugu for sale","Enugu State, Enugu",Enugu,250000000.0,500,5,5,Unfurnished,True,Enugu,500000.0
"3bdrm Bungalow in Adoration Road Emene, Enugu for sale","Enugu State, Enugu",Enugu,35000000.0,400,3,3,Unfurnished,True,Enugu,87500.0
5bdrm Duplex in Lekki Palm City for sale,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,270000000.0,300,5,6,Semi-furnished,True,Lagos,900000.0
"3bdrm Duplex in Gra Alagbaka, Akure for sale","Ondo State, Akure",Akure,98000000.0,500,3,4,Semi-furnished,False,Ondo,196000.0
"2bdrm Apartment in A Secured Gated, Ologolo for sale","Lekki, Ologolo",Ologolo,90000000.0,300,2,2,Unfurnished,True,Lagos,300000.0
"4bdrm Duplex in Golden Park Estate, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,150000000.0,500,4,4,Unfurnished,True,Lagos,300000.0
"4bdrm Duplex in A Well Secured, Ikota for sale","Lekki, Ikota",Ikota,150000000.0,300,4,4,Unfurnished,True,Lagos,500000.0
"3bdrm Block of Flats in Challenge, Ibadan for sale","Oyo State, Ibadan",Ibadan,45000000.0,500,3,2,Unfurnished,True,Oyo,90000.0
3bdrm Block of Flats in Magodo Phase 1 Gra for sale,"Magodo, GRA Phase 1",GRA Phase 1,500000000.0,780,3,3,Semi-furnished,False,Lagos,641025.641025641
"5bdrm Duplex in Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,150000000.0,500,5,5,Unfurnished,True,Enugu,300000.0
4bdrm House in Benin City for sale,"Edo State, Benin City",Benin City,70000000.0,557,4,3,Unfurnished,False,Edo,125673.24955116697
"2bdrm Apartment in Oda Road, Akure for sale","Ondo State, Akure",Akure,33000000.0,700,2,2,Unfurnished,False,Ondo,47142.857142857145
"Furnished 4bdrm Duplex in A Secured Code To, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,250000000.0,350,4,5,Furnished,True,Lagos,714285.7142857143
"3bdrm Block of Flats in Idanre Road, Akure for sale","Ondo State, Akure",Akure,55000000.0,1400,3,2,Unfurnished,False,Ondo,39285.71428571428
"5bdrm Duplex in Thinkers Corner, Enugu for sale","Enugu State, Enugu",Enugu,235000000.0,500,5,5,Unfurnished,True,Enugu,470000.0
"5bdrm Duplex in Dosek Estate, Chevron for sale","Lekki, Chevron",Chevron,450000000.0,480,5,5,Unfurnished,True,Lagos,937500.0
"3bdrm Bungalow in Sobi, Moro for sale","Kwara State, Moro",Moro,8500000.0,453,3,3,Unfurnished,True,Kwara,18763.796909492274
"5bdrm Duplex in Maralago Lake City, Karsana for sale","Gwagwa, Karsana",Karsana,250000000.0,500,5,5,Unfurnished,True,Abuja,500000.0
3bdrm Apartment in Lokogoma for sale,"Abuja (FCT), Lokogoma",Lokogoma,130000000.0,500,3,3,Unfurnished,True,Abuja,260000.0
"5bdrm Duplex in A Secured Code To, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,280000000.0,450,5,6,Unfurnished,True,Lagos,622222.2222222222
"8bdrm Bungalow in House On Plot Of, Iyana Ipaja for sale","Ipaja, Iyana Ipaja",Iyana Ipaja,27000000.0,120,8,2,Unfurnished,True,Lagos,225000.0
"6bdrm Duplex in Independence Layout, Enugu for sale","Enugu State, Enugu",Enugu,300000000.0,500,6,6,Unfurnished,True,Enugu,600000.0
"3bdrm Apartment in Futa South Gate, Akure for sale","Ondo State, Akure",Akure,75000000.0,700,3,3,Unfurnished,False,Ondo,107142.85714285714
5bdrm Duplex in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,330000000.0,400,5,5,Semi-furnished,True,Lagos,825000.0
"3bdrm Bungalow in Jedidiah Premium, Enugu for sale","Enugu State, Enugu",Enugu,100000000.0,500,3,3,Unfurnished,True,Enugu,200000.0
"4bdrm Duplex in A Well Secured, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,150000000.0,350,4,4,Unfurnished,True,Lagos,428571.4285714286
"3bdrm Bungalow in Jenriyin, Iwo Road, Ibadan for sale","Oyo State, Ibadan",Ibadan,28000000.0,800,3,3,Semi-furnished,True,Oyo,35000.0
4bdrm Duplex in Ajah for sale,"Lagos State, Ajah",Ajah,180000000.0,300,4,5,Semi-furnished,False,Lagos,600000.0
"5bdrm Duplex in Megamound Estate, Ikota for sale","Lekki, Ikota",Ikota,300000000.0,500,5,5,Unfurnished,True,Lagos,600000.0
"5bdrm Duplex in Trans Engineering, Dawaki for sale","Gwarinpa, Dawaki",Dawaki,220000000.0,500,5,5,Unfurnished,True,Abuja,440000.0
"4bdrm Duplex in Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,200000000.0,500,4,4,Unfurnished,True,Enugu,400000.0
3bdrm Bungalow in Kubwa for sale,"Abuja (FCT), Kubwa",Kubwa,30000000.0,100,3,3,Unfurnished,False,Abuja,300000.0
"5bdrm Duplex in A Well Secured, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,380000000.0,450,5,5,Unfurnished,True,Lagos,844444.4444444445
"4bdrm Bungalow in Transekulu, Enugu for sale","Enugu State, Enugu",Enugu,95000000.0,600,4,4,Unfurnished,True,Enugu,158333.33333333334
"Furnished 3bdrm Penthouse in Pentville Estate, Lokogoma for sale","Abuja (FCT), Lokogoma",Lokogoma,200000000.0,600,3,5,Furnished,False,Abuja,333333.3333333333
"5bdrm Duplex in Alagbaka Extension, Akure for sale","Ondo State, Akure",Akure,180000000.0,1200,5,6,Semi-furnished,False,Ondo,150000.0
"5bdrm Duplex in Wtc Estate, Enugu for sale","Enugu State, Enugu",Enugu,300000000.0,500,5,5,Unfurnished,True,Enugu,600000.0
"4bdrm Duplex in Bogije, Ajah for sale","Lagos State, Ajah",Ajah,120000000.0,500,4,4,Unfurnished,True,Lagos,240000.0
"5bdrm Duplex in New Haven Extension, Enugu for sale","Enugu State, Enugu",Enugu,270000000.0,500,5,5,Unfurnished,True,Enugu,540000.0
"4bdrm Duplex in Akala Way Akobo, Ibadan for sale","Oyo State, Ibadan",Ibadan,140000000.0,450,4,4,Semi-furnished,True,Oyo,311111.1111111111
"3bdrm Bungalow in Ifesowapo Estate, Akobo for sale","Ibadan, Akobo",Akobo,50000000.0,450,3,3,Semi-furnished,True,Oyo,111111.11111111111
"5bdrm Duplex in Lekki Palm City, Ajah for sale","Lagos State, Ajah",Ajah,285000000.0,500,5,5,Unfurnished,True,Lagos,570000.0
"1bdrm Apartment in A Well Secured, Ologolo for sale","Lekki, Ologolo",Ologolo,65000000.0,300,1,1,Unfurnished,True,Lagos,216666.66666666666
Furnished 3bdrm Bungalow in FHA for sale,"Lugbe District, FHA",FHA,70000000.0,500,3,3,Furnished,False,Abuja,140000.0
4bdrm Duplex in Ikeja Gra for sale,"Ikeja, Ikeja GRA",Ikeja GRA,450000000.0,500,4,5,Semi-furnished,False,Lagos,900000.0
"1bdrm Apartment in Ebunoluwa Street,, Ondo / Ondo State for sale","Ondo State, Ondo / Ondo State",Ondo / Ondo State,8000000.0,600,1,1,Unfurnished,False,Ondo,13333.333333333334
3bdrm Duplex in In An Estate for sale,"Gwarinpa, Life Camp",Life Camp,205000000.0,500,3,4,Semi-furnished,True,Abuja,410000.0
"4bdrm Duplex in Ijapo Estate, Akure for sale","Ondo State, Akure",Akure,170000000.0,1000,4,5,Unfurnished,False,Ondo,170000.0
"Furnished 3bdrm Bungalow in Police Estate, Dei-Dei for sale","Abuja (FCT), Dei-Dei",Dei-Dei,60000000.0,1000,3,3,Furnished,False,Abuja,60000.0
3bdrm Bungalow in Olorunsogo Ibadan for sale,"Oyo State, Ibadan",Ibadan,24000000.0,460,3,3,Semi-furnished,True,Oyo,52173.913043478264
"2bdrm Apartment in Dajuma, Off Ondo, Akure for sale","Ondo State, Akure",Akure,30000000.0,600,2,1,Unfurnished,False,Ondo,50000.0
"4bdrm Duplex in Elshammah Estate, Enugu for sale","Enugu State, Enugu",Enugu,120000000.0,500,4,4,Unfurnished,True,Enugu,240000.0
"2bdrm Block of Flats in Gaga, Oke Aro, Akure for sale","Ondo State, Akure",Akure,8000000.0,750,2,2,Unfurnished,False,Ondo,10666.666666666666
"5bdrm Duplex in Park Avenue, Enugu for sale","Enugu State, Enugu",Enugu,300000000.0,500,5,5,Unfurnished,True,Enugu,600000.0
"Furnished 5bdrm Duplex in Lugbe, FHA for sale","Lugbe District, FHA",FHA,250000000.0,580,5,5,Furnished,True,Abuja,431034.4827586207
5bdrm Duplex in Lekki Phase 2 for sale,"Lekki, Lekki Phase 2",Lekki Phase 2,550000000.0,500,5,6,Semi-furnished,False,Lagos,1100000.0
"5bdrm Duplex in Well Secured And, Ikota for sale","Lekki, Ikota",Ikota,450000000.0,500,5,6,Unfurnished,True,Lagos,900000.0
"2bdrm Apartment in A Secured Code To, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,85000000.0,350,2,2,Unfurnished,True,Lagos,242857.14285714287
"5bdrm Duplex in Abakpa, Enugu for sale","Enugu State, Enugu",Enugu,60000000.0,500,5,5,Unfurnished,True,Enugu,120000.0
"4bdrm Bungalow in Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,135000000.0,500,4,4,Unfurnished,True,Enugu,270000.0
"2bdrm Apartment in A Well Secured, Ikate for sale","Lekki, Ikate",Ikate,348000000.0,350,2,2,Unfurnished,True,Lagos,994285.7142857143
"1bdrm Apartment in A Well Secured, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,185000000.0,250,1,1,Unfurnished,True,Lagos,740000.0
"3bdrm Bungalow in Amangwu Abakpa Nike, Enugu for sale","Enugu State, Enugu",Enugu,30000000.0,500,3,2,Unfurnished,True,Enugu,60000.0
5bdrm Duplex in Kubwa for sale,"Abuja (FCT), Kubwa",Kubwa,160000000.0,1000,5,5,Unfurnished,False,Abuja,160000.0
"3bdrm Apartment in A Well Secured And, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,250000000.0,350,3,3,Unfurnished,True,Lagos,714285.7142857143
2bdrm Block of Flats in FHA for sale,"Lugbe District, FHA",FHA,150000000.0,800,2,3,Semi-furnished,False,Abuja,187500.0
"2bdrm Block of Flats in Sijuade, Akure for sale","Ondo State, Akure",Akure,25000000.0,620,2,2,Semi-furnished,False,Ondo,40322.58064516129
"4bdrm Duplex in Apo Legislative, Zone B for sale","Apo District, Zone B",Zone B,280000000.0,1200,4,4,Unfurnished,True,Abuja,233333.33333333334
"4bdrm Duplex in Jedidiah Premium, Enugu for sale","Enugu State, Enugu",Enugu,130000000.0,500,4,4,Unfurnished,True,Enugu,260000.0
"3bdrm Block of Flats in Ogaba, Ikeja, Ogba for sale","Lagos State, Ogba",Ogba,120000000.0,800,3,4,Semi-furnished,False,Lagos,150000.0
"5bdrm Duplex in Chime Estate, Enugu for sale","Enugu State, Enugu",Enugu,200000000.0,600,5,5,Unfurnished,True,Enugu,333333.3333333333
"2bdrm Block of Flats in First Gate, Igoba, Akure for sale","Ondo State, Akure",Akure,40000000.0,1200,2,3,Unfurnished,False,Ondo,33333.333333333336
"4bdrm Duplex in Orchid, Lafiaji for sale","Lekki, Lafiaji",Lafiaji,110000000.0,1730,4,4,Unfurnished,True,Lagos,63583.815028901736
"5bdrm Duplex in Megamound, Ikota for sale","Lekki, Ikota",Ikota,500000000.0,500,5,6,Unfurnished,True,Lagos,1000000.0
"3bdrm Apartment in Off Thomas Olaniyan,, Ikorodu for sale","Lagos State, Ikorodu",Ikorodu,150000000.0,1390,3,2,Unfurnished,False,Lagos,107913.6690647482
"3bdrm Bungalow in Jedidiah Gardens, Enugu for sale","Enugu State, Enugu",Enugu,80000000.0,600,3,3,Unfurnished,True,Enugu,133333.33333333334
4bdrm Duplex in Crown Estate for sale,"Ajah, Crown Estate",Crown Estate,300000000.0,500,4,4,Unfurnished,True,Lagos,600000.0
