title,region,region_item_text,region_name,region_parent_name,price_title,property_size,bedrooms,bathrooms,furnishing,is_boost
"4bdrm Duplex in Abuja Estate, Owerri for sale","Imo State, Owerri","Imo, Owerri",Owerri,Imo State,"₦ 170,000,000",600,4,5,unfurnished,vip
"Furnished 5bdrm Bungalow in Prime Property, Benin City for sale","Edo State, Benin City","Edo, Benin City",Benin City,Edo State,"₦ 45,000,000",1500,5,4,furnished,diamond
2bdrm Block of Flats in Uyo for sale,"Akwa Ibom State, Uyo","Akwa Ibom, Uyo",Uyo,Akwa Ibom State,"₦ 30,000,000",400,2,1,unfurnished,
"Furnished 6bdrm Duplex in Port Harcourt, Obio-Akpor for sale","Rivers State, Obio-Akpor","Rivers, Obio-Akpor",Obio-Akpor,Rivers State,"₦ 150,000,000",1162,6,6,furnished,
"12bdrm Block of Flats in Kapua, FHA for sale","Lugbe District, FHA","Abuja, Lugbe District",FHA,Lugbe District,"₦ 250,000,000",1300,12,16,semi-furnished,
"4bdrm Duplex in Utesi, Benin City for sale","Edo State, Benin City","Edo, Benin City",Benin City,Edo State,"₦ 47,000,000",2000,4,4,unfurnished,
"4bdrm Duplex in Saud Supreme, Lugbe District for sale","Abuja (FCT), Lugbe District","Abuja, Lugbe District",Lugbe District,Abuja (FCT),"₦ 250,000,000",500,4,5,semi-furnished,
"Furnished 3bdrm House in Prime Property, Benin City for sale","Edo State, Benin City","Edo, Benin City",Benin City,Edo State,"₦ 120,000,000",1000,3,3,furnished,diamond
"4bdrm Duplex in Peace Gardens Estate, Sangotedo for sale","Ajah, Sangotedo","Lagos, Ajah",Sangotedo,Ajah,"₦ 360,000,000",400,4,5,unfurnished,
Furnished 4bdrm Block of Flats in Peninsula Estate for sale,"Ajah, Peninsula Estate","Lagos, Ajah",Peninsula Estate,Ajah,"₦ 160,000,000",1000,4,5,furnished,
"5bdrm Bungalow in Olufoworeseti, Gberigbe for sale","Ikorodu, Gberigbe","Lagos, Ikorodu",Gberigbe,Ikorodu,"₦ 25,000,000",350,5,3,unfurnished,
"11bdrm House in Nwawolor Estate, Oshimili North for sale","Delta State, Oshimili North","Delta, Oshimili North",Oshimili North,Delta State,"₦ 100,000,000",929,11,16,unfurnished,
4bdrm Bungalow in Eneka for sale,"Port-Harcourt, Eneka","Rivers, Port-Harcourt",Eneka,Port-Harcourt,"₦ 35,000,000",972,4,2,unfurnished,
"3bdrm Block of Flats in City Of David Estate, Shimawa for sale","Sagamu, Shimawa","Ogun, Sagamu",Shimawa,Sagamu,"₦ 110,000,000",600,3,3,unfurnished,vip
Furnished 4bdrm Maisonette in Old Ikoyi for sale,"Ikoyi, Old Ikoyi","Lagos, Ikoyi",Old Ikoyi,Ikoyi,"₦ 7,000,000,000",400,4,4,furnished,vip
3bdrm House in Ado-Odo/Ota for sale,"Ogun State, Ado-Odo/Ota","Ogun, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,"₦ 15,000,000",620,3,3,unfurnished,
"5bdrm Bungalow in Chevron Estate., Satelite Town for sale","Ojo, Satelite Town","Lagos, Ojo",Satelite Town,Ojo,"₦ 100,000,000",370,5,5,unfurnished,
"7bdrm Duplex in Efeb Metropolis, Dawaki for sale","Gwarinpa, Dawaki","Abuja, Gwarinpa",Dawaki,Gwarinpa,"₦ 500,000,000",1000,7,7,unfurnished,
"3bdrm Bungalow in Queens Park Estate, Obafemi-Owode for sale","Ogun State, Obafemi-Owode","Ogun, Obafemi-Owode",Obafemi-Owode,Ogun State,"₦ 42,500,000",250,3,3,unfurnished,
